cin,company_name
L17110MH1973PLC019786,RELIANCE INDUSTRIES LIMITED
L40101DL1975GOI007966,NTPC LIMITED
L74899DL1993GOI054155,OIL AND NATURAL GAS CORPORATION LIMITED
L22210MH1995PLC084781,TATA CONSULTANCY SERVICES LIMITED
U10102CT1985GOI003161,SOUTH EASTERN COALFIELDS LIMITED
L16005WB1910PLC001985,ITC LIMITED
U10200JH1956GOI000581,CENTRAL COALFIELDS LIMITED
L13100AP1958GOI001674,NMDC LIMITED
L27100MH1907PLC000260,TATA STEEL LIMITED
L85110KA1981PLC013115,INFOSYS LIMITED
L65910DL1986GOI024862,POWER FINANCE CORPORATION LIMITED
L65920MH1994PLC080618,HDFC BANK LIMITED
L65190GJ1994PLC021012,ICICI BANK LIMITED
L40200DL1984GOI018976,GAIL (INDIA) LIMITED
L32102KA1945PLC020800,WIPRO LIMITED
L23201MH1959GOI011388,INDIAN OIL CORPN. LIMITED
L65110GJ1993PLC020769,AXIS BANK LIMITED
L40101DL1969GOI005095,RURAL ELECTRIFICATION CORPORATION LIMITED
L23220MH1952GOI008931,BHARAT PETROLEUM CORPORATION LIMITED
L99999MH1946PLC004768,LARSEN AND TOUBRO LIMITED
L15140MH1933PLC002030,HINDUSTAN UNILEVER LIMITED
U35301KA1963GOI001622,HINDUSTAN AERONAUTICS LIMITED
L65993PN2007PLC130076,BAJAJ AUTO LIMITED.
L65990MH1945PLC004558,MAHINDRA AND MAHINDRA LIMITED
L70100MH1977PLC019916,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
L34103DL1981PLC011375,MARUTI SUZUKI INDIA LIMITED
L27109DL1973GOI006454,STEEL AUTHORITY OF INDIA LIMITED
L23109WB1973GOI028844,COAL INDIA LTD GOVT OF INDIA UNDERTAKING
L40101HR1975GOI032564,NHPC LIMITED
L23201MH1952GOI008858,HINDUSTAN PETROLEUM CORPORATION LIMITED
L74899DL1964GOI004281,BHARAT HEAVY ELECTRICALS LIMITED
L14100GJ1963SGC001206,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED
U10100MH1975GOI018626,WESTERN COALFIELDS LIMITED
L35911DL1984PLC017354,HERO MOTOCORP LIMITED
L27204RJ1966PLC001208,HINDUSTAN ZINC LIMITED
U31900DL1995PTC071387,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED
L11101MH2006PLC163934,CAIRN INDIA LIMITED
L27102MH1994PLC152925,JSW STEEL LIMITED
L26940MH2000PLC128420,ULTRATECH CEMENT LIMITED
U10101JH1972GOI000918,BHARAT COKING COAL LIMITED
U67200MH1972GOI016133,GENERAL INSURANCE CORPORATION OF INDIA
L64200MH1986PLC041370,TECH MAHINDRA LIMITED
L74899DL1995PLC070609,BHARTI AIRTEL LIMITED
U22120MH1913PLC000391,BENNETT COLEMAN AND COMPANY LIMITED
U26911WB1962PLC025691,RUNGTA MINES LIMITED
L85195TG1984PLC004507,DR.REDDY'S LABORATORIES LTD
L63090GJ1998PLC034182,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
L24220MH1945PLC004598,ASIAN PAINTS LIMITED
L99999MH1929PLC001530,RELIANCE INFRASTRUCTURE LIMITED
L65922DL2005PLC136029,INDIABULLS HOUSING FINANCE LIMITED
L63011DL1988GOI030915,CONTAINER CORPORATION OF INDIA LIMITED
U65910DL1986GOI026363,INDIAN RAILWAY FINANCE CORPORATION LIMITED
L65921MH1991PLC059642,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED
L28920MH1919PLC000567,THE TATA POWER COMPANY LIMITED
L40101HP1988GOI008409,SJVN LIMITED
L65110JK1938SGC000048,JAMMU AND KASHMIR BANK LIMITED
L65191PN1994PLC076333,INDUSIND BANK LTD.
L27105HR1979PLC009913,JINDAL STEEL AND POWER LIMITED
U31200MP2000GOI014337,NHDC LIMITED
U66010PN2001PLC015959,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED
L24110MH1947PLC005719,PIRAMAL ENTERPRISES LIMITED
U67190DL2006GOI144520,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED
L65191TN1997PLC037415,IDFC LIMITED
U40104MH1987GOI149458,NUCLEAR POWER CORPORATION OF INDIA LIMITED
L92132MH1982PLC028767,ZEE ENTERTAINMENT ENTERPRISES LIMITED
L74999MH1994PLC077041,JSW ENERGY LIMITED
L65910MH1987PLC042961,BAJAJ FINANCE LIMITED
L64201DL2006PLC156038,BHARTI INFRATEL LIMITED
L28920MH1945PLC004520,TATA MOTORS LIMITED
L24100MH1983PLC029442,LUPIN LIMITED
L24239MH1935PLC002380,CIPLA LIMITED
L85110KA1951PLC000761,BOSCH LIMITED
U35912HR2001PTC034649,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD
L24239TG1986PLC015190,AUROBINDO PHARMA LTD
L65191TN1979PLC007874,SHRIRAM TRANSPORT FINANCE COMPANY LIMITE D
L32100GJ1996PLC030976,IDEA CELLULAR LIMITED
U31101MH1994PLC243148,ROSA POWER SUPPLY COMPANY LIMITED
L24230DL1975PLC007908,DABUR INDIA LIMITED
L74999TZ1984PLC001456,TITAN COMPANY LIMITED
L45203UP2007PLC033119,JAYPEE INFRATECH LIMITED
L24230GJ1972PLC002126,TORRENT PHARMACEUTICALS LTD
L31901WB1978PLC031411,CESC LTD
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED
U74999KA1996FTC055568,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED
U73100DL2005PTC307363,GENPACT INDIA PRIVATE LIMITED
L17124MP1947PLC000410,GRASIM INDUSTRIES LTD
L45201KA1995PLC018475,SOBHA LIMITED
L26943RJ1979PLC001935,SHREE CEMENT LIMITED
L24239MH1924PLC001151,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
L65910KL1997PLC011300,MUTHOOT FINANCE LIMITED
L24246MH2000PLC129806,GODREJ CONSUMER PRODUCTS LIMITED
U15549PN1992FTC065522,COCA COLA INDIA PRIVATE LIMITED
L24200MH1937PLC002700,COLGATE-PALMOLIVE (INDIA) LIMITED
U40102MH2006PLC182213,COASTAL GUJARAT POWER LIMITED
U74999MH1957GOI010918,ECGC LIMITED
U72200KA2002PLC030310,INFOSYS BPO LIMITED
L24239MH1939PLC002893,TATA CHEMICALS LIMITED
L25111KL1972PLC002449,APOLLO TYRES LIMITED.
L25209PN1961PLC012046,BHARAT FORGE LTD
L30007KA1992PLC025294,MPHASIS LIMITED
L74140DL1991PLC046369,HCL TECHNOLOGIES LIMITED
L65191KL1931PLC000368,THE FEDERAL BANK LTD
L65191TN1954PLC002429,SUNDARAM FINANCE LIMITED
U66010PN2000PLC015329,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED
L24299MH1977PLC019982,GLENMARK PHARMACEUTICALS LIMITED
L31900DL1983PLC016304,HAVELLS INDIA LIMITED
L65993TN1978PLC007576,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
U13100GJ2004PLC043477,ESSAR BULK TERMINAL LIMITED
U16003MH1991PTC061695,BORSAD TOBACCO COMPANY PRIVATE LIMITED
L24231PB1958PLC002257,GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED
L24120TG1961PLC000892,COROMANDEL INTERNATIONAL LIMITED
U33110MH1957PTC010928,JOHNSON & JOHNSON PRIVATE LIMITED
L15412WB1918PLC002964,BRITANNIA INDUSTRIES LTD
L70101HR1963PLC002484,DLF LIMITED
U40101ML1976GOI001658,NORTH EASTERN ELECTRIC POWER CORPN LTD
U51109WB1950PLC018728,ESSEL MINING & INDUSTRIES LTD.
U99999MH1919GOI000526,THE NEW INDIA ASSURANCE COMPANY LIMITED
L15140MH1988PLC049208,MARICO LIMITED
U72200TN2006PLC060330,IL&FS TAMIL NADU POWER COMPANY LIMITED
L63993WB1983PLC036030,EMAMI LIMITED
U99999MH2000PLC129113,SBI LIFE INSURANCE COMPANY LIMITED
U72200TG2003PTC041835,BA CONTINUUM INDIA PRIVATE LIMITED
L65910MH1986PLC165645,RELIANCE CAPITAL LTD
U67200MH2000PLC129408,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
U65990MH2001PLC131804,THE CLEARING CORPORATION OF INDIA LIMITED
U72900MH2001PLC131598,RELIANCE INFRATEL LIMITED
L65190MH2004GOI148838,IDBI BANK LIMITED
L65910KL1992PLC006623,MANAPPURAM FINANCE LIMITED
U70101WB1995PLC073339,BANDHAN FINANCIAL SERVICES LIMITED
U74899DL1997PTC085151,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED
U30007KA1996PTC019630,APPLE INDIA PRIVATE LIMITED
U72200KA1994FTC016379,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED
U45102GJ1997PLC031906,RELIANCE PORTS AND TERMINALS LIMITED
L24124RJ1985PLC003293,CHAMBAL FERTILISERS AND CHEMICALS LIMITED
U65991MH1999PLC123027,HDFC ASSET MANAGEMENT COMPANY LIMITED
L34102DL1982PLC129877,EICHER MOTORS LIMITED
U74899DL1979PLC009431,JCB INDIA LIMITED
U31909KA1995PTC019505,CISCO SYSTEMS (INDIA) PRIVATE LIMITED
L18101DL1970PLC005197,SRF LIMITED
U40100GJ1991PTC051130,RELIANCE UTILITIES AND POWER PRIVATE LIMITED
U90001MH1991PLC178157,ASIANET COMMUNICATIONS LIMITED
U40109DL2001PLC111526,TATA POWER DELHI DISTRIBUTION LIMITED
L62100DL2004PLC129768,INTERGLOBE AVIATION LIMITED
U74899PB2000PLC045626,MAX LIFE INSURANCE COMPANY LIMITED
U45201HR2006PLC036074,DLF CYBER CITY DEVELOPERS LIMITED CO. WITH PART IX CATAGORY
U72200KA1997PTC022727,HP INDIA SALES PRIVATE LIMITED
L24234KA1978PLC003417,BIOCON LIMITED
L65110TN1904PLC001287,CITY UNION BANK LIMITED
U45203MH1994PTC077075,MODERN ROAD MAKERS P LTD
L24230MH1999PLC120720,WOCKHARDT LIMITED
U65929MH2003PTC141455,PRESCIENT SECURITIES PRIVATE LIMITED
L25100MH1958PLC011041,CEAT LIMITED
U65910MH1995PLC220793,RELIANCE NIPPON LIFE ASSET MANAGEMENT LIMITED
U72900HR2001PTC055458,RBS SERVICES INDIA PRIVATE LIMITED
L17199GJ1956PLC001107,ADITYA BIRLA NUVO LIMITED
L17119GJ1931PLC000093,ARVIND LIMITED
U74999DL2002PLC118123,AGRICULTURE INSURANCE COMPANY OF INDIA LIMITED
L24110TG1990PLC011854,DIVI'S LABORATORIES LIMITED
U72200DL1998PTC093824,MICROSOFT INDIA (R&D) PRIVATE LIMITED
U65990MH1995PLC093241,IL&FS FINANCIAL SERVICES LIMITED
U51209MH1982PTC027109,YOGESH AGENCIES AND INVESTMENTS PRIVATE LIMITED
L35911PN1945PLC004656,BAJAJ HOLDINGS & INVESTMENT LIMITED.
U72200MH1996PTC100196,WNS GLOBAL SERVICES PRIVATE LIMITED
L74899DL1993GOI053677,IFCI LIMITED
L65910MH1984PLC032639,DEWAN HOUSING FINANCE CORPORATION LIMITED
L26941TN1957PLC003566,THE RAMCO CEMENTS LIMITED
U34100MH2007PLC171151,MAHINDRA VEHICLE MANUFACTURERS LIMITED
L65191TN1986PLC012840,SHRIRAM CITY UNION FINANCE LIMITED
L24231MH1950PLC008311,PFIZER LIMITED
L24230MH1979PLC022059,AJANTA PHARMA LIMITED
L24230GJ2010PLC061123,ALEMBIC PHARMACEUTICALS LIMITED
U63032KL1972GOI002414,COCHIN SHIPYARD LIMITED
