,id,proj_name,proj_sector,state,district,outlay,spent,mode,year,cin,company_name
0,1,Environment,Environmental Sustainability,Maharashtra,Nashik,"853,700,000.00","1,100,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
1,2,Education - DA Scholarships,Education,PAN India,NEC/ Not mentioned,"97,500,000.00","40,100,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
2,3,Education -Reliance Foundation Jr. NBA Programme,Education,PAN India,NEC/ Not mentioned,"63,000,000.00","40,600,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
3,4,Education and Other Initiatives,Education,PAN India,NEC/ Not mentioned,"17,000,000.00","16,800,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
4,5,Health - Sir HN Reliance FoundationHospital and Research Centre,Health Care,Maharashtra,NEC/ Not mentioned,"6,137,500,000.00","5,538,900,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
5,6,Health-CSR at manufacturing location,Health Care,PAN India,NEC/ Not mentioned,"104,700,000.00","144,000,000.00",Directly,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
6,7,"Health OutreachProgramme II - Static, Mobile Medical Units and camps for primary and preventive healthcare including diagnostics",Health Care,Maharashtra,NEC/ Not mentioned,"31,500,000.00","31,400,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
7,8,Health - Autism Project,Health Care,Delhi,NEC/ Not mentioned,"15,000,000.00","15,000,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
8,9,Health - to develop innovative technology that will help train medical students and clinicians for better diagnosis and improved healthcare,Health Care,Maharashtra,NEC/ Not mentioned,"350,000,000.00","242,500,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
9,10,Health -Partnerships with Non-Government Organisations,Health Care,PAN India,NEC/ Not mentioned,"58,000,000.00","151,400,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
10,11,Education -Reliance University,Education,Maharashtra,NEC/ Not mentioned,"15,000,000.00","13,500,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
11,12,Education-CSR at Manufacturing locations,Education,PAN India,NEC/ Not mentioned,"120,100,000.00","102,400,000.00",Directly,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
12,13,Health - Drishti Cornealtransplants andother activities forvisually impaired,Health Care,PAN India,NEC/ Not mentioned,"28,600,000.00","12,800,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
13,14,Other Initiatives-CSR at Manufacturing locations,NEC/ Not Mentioned,PAN India,NEC/ Not mentioned,"119,400,000.00","40,900,000.00",Directly,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
14,15,Disaster Relief-CSR at manufacturing locations,Rural Development Projects,Andhra Pradesh,East Godavari,"8,400,000.00","7,900,000.00",Directly,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
15,16,Rural Transformation -Reliance Foundation Bharat India Jodo -Enhancing Rural Livelihoods,Rural Development Projects,PAN India,NEC/ Not mentioned,"1,273,100,000.00","1,016,900,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
16,17,"Rural Transformation -Information Services - Enable access to need based locale-specific content in agriculture, marine fisheries, public health, disaster response and other areas by leveraging technology",Rural Development Projects,PAN India,NEC/ Not mentioned,"134,900,000.00","96,500,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
17,18,Community Development,Rural Development Projects,Madhya Pradesh,NEC/ Not mentioned,"4,500,000.00","3,600,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
18,19,Disaster Relief,Rural Development Projects,PAN India,NEC/ Not mentioned,"196,400,000.00","70,700,000.00",By Trusts/ Societies/ Section 8 Company set up by the Company itself,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
19,20,Community Development-CSR at manufacturing locations,Rural Development Projects,PAN India,NEC/ Not mentioned,"29,000,000.00","18,800,000.00",Directly,2014-15,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
20,1,Disaster Relief- CSR at manufacturing locations,Rural Development Projects,Andhra Pradesh,East Godavari,0,0,Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
21,2,Disaster Relief,Rural Development Projects,PAN India,NEC/ Not mentioned,"209,000,000.00","94,500,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
22,3,Community Development,Rural Development Projects,PAN India,NEC/ Not mentioned,"98,200,000.00","36,500,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
23,4,Community Development- CSR at Manufacturing locations,Rural Development Projects,PAN India,NEC/ Not mentioned,"53,500,000.00","11,500,000.00",Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
24,5,Other initatives- CSR at manufacturing locations,Training To Promote Sports,Andhra Pradesh,NEC/ Not mentioned,"400,000.00","400,000.00",Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
25,6,RF Young Champs,Training To Promote Sports,Maharashtra,NEC/ Not mentioned,"70,000,000.00","49,900,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
26,7,Education - Reliance Foundation Jr. NBA Program,Training To Promote Sports,PAN India,NEC/ Not mentioned,"48,000,000.00","36,100,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
27,8,Promoting Traditional Arts and Culture,Art And Culture,Maharashtra,NEC/ Not mentioned,"10,000,000.00","2,800,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
28,9,Environment - RF -Urban Renewal,Environmental Sustainability,PAN India,NEC/ Not mentioned,"19,000,000.00","8,500,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
29,10,Health - Sir HN Reliance Foundation Hospital and Research Centre,Health Care,Maharashtra,NEC/ Not mentioned,"2,640,000,000.00","2,480,200,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
30,11,Health - To develop innovative technology that will help train medical students and clinicians for better diagnosis and improved h,Health Care,Maharashtra,NEC/ Not mentioned,"300,000,000.00","264,300,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
31,12,Health- CSR at Manufacturing locations,Health Care,PAN India,NEC/ Not mentioned,"268,700,000.00","226,900,000.00",Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
32,13,Health - Partnerships with Non-Government Organisations,Health Care,PAN India,NEC/ Not mentioned,"86,400,000.00","47,800,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
33,14,"Health Outreach Program II - Static, Mobile Medical Units and camps for primary and preventive healthcare including diagnostics",Health Care,PAN India,NEC/ Not mentioned,"85,600,000.00","46,000,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
34,15,Health - Drishti Corneal transplants and other activities for visually impaired,Health Care,PAN India,NEC/ Not mentioned,"20,600,000.00","12,600,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
35,16,Health - Mother & Child Health,Health Care,PAN India,NEC/ Not mentioned,"13,500,000.00","7,800,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
36,17,Rural Transformation - Reliance Foundation Bharat India Jodo -Enhancing Rural Livelihoods,"Poverty, Eradicating Hunger, Malnutrition",PAN India,NEC/ Not mentioned,"843,500,000.00","696,900,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
37,18,"Rural Transformation - Information Services - Enable access to need based locale-specifc content in agriculture, marine fisheri","Poverty, Eradicating Hunger, Malnutrition",PAN India,NEC/ Not mentioned,"201,200,000.00","140,000,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
38,19,Health - Autism Project,Health Care,Delhi,New Delhi,"7,500,000.00","5,000,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
39,20,Health - Lodhivali Hospital,Health Care,Maharashtra,Raigad,"15,000,000.00","12,900,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
40,21,Education- CSR at manufacturing locations,Education,Andhra Pradesh,NEC/ Not mentioned,"452,400,000.00","443,100,000.00",Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
41,22,Education - Partnerships with Non-Government Organisations,Education,PAN India,NEC/ Not mentioned,"535,400,000.00","411,500,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
42,23,Education - DA Scholarships,Education,PAN India,NEC/ Not mentioned,"49,700,000.00","24,900,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
43,24,"Skilling, Entrepreneurship and Alternate Livelihoods",Education,PAN India,NEC/ Not mentioned,"86,000,000.00","18,500,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
44,25,Education-Initiatives Digitisation of education initiative,Education,PAN India,NEC/ Not mentioned,"10,000,000.00","6,300,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
45,26,Education - Reliance University,Education,Maharashtra,Raigad,"1,314,700,000.00","1,263,100,000.00",Other Implementing Agency,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
46,27,Other Initiatives - CSR at manufacturing locations,Other Central Government Funds,PAN India,NEC/ Not mentioned,"50,300,000.00","49,000,000.00",Directly,2015-16,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
47,1,,NEC/ Not Mentioned,NEC/ Not mentioned,NEC/ Not mentioned,0,0,NEC/ Not Mentioned,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
48,2,Health - to develop innovative technology that will help train medical students and clinicians for better diagnosis and improved h,Health Care,Maharashtra,NEC/ Not mentioned,"21,600,000.00","8,300,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
49,3,Health - Drishti Corneal transplant and other activities for visually impaired,Health Care,PAN India,NEC/ Not mentioned,"20,000,000.00","18,600,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
50,4,"Health Outreach Programme II -Static, Mobile Medical Units and camps for primary and preventive healthcare including diagnostics",Health Care,PAN India,NEC/ Not mentioned,"57,500,000.00","66,700,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
51,5,Rural Transformation -Partnerships with Non- Government Organisations,Rural Development Projects,Maharashtra,NEC/ Not mentioned,"125,000,000.00","126,500,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
52,6,Disaster Relief,Rural Development Projects,PAN India,NEC/ Not mentioned,"141,600,000.00","105,600,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
53,7,Community Development,Rural Development Projects,Andhra Pradesh,NEC/ Not mentioned,"66,800,000.00","62,800,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
54,8,"Skilling, Entrepreneurship and Alternate Livelihoods",Livelihood Enhancement Projects,Andhra Pradesh,NEC/ Not mentioned,"79,500,000.00","39,300,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
55,9,Other Initiatives - CSR at manufacturing locations,Rural Development Projects,PAN India,NEC/ Not mentioned,"4,000,000.00","37,400,000.00",Directly by company,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
56,10,Sports Development - CSR at manufacturing locations,Art And Culture,Andhra Pradesh,NEC/ Not mentioned,0,"300,000.00",Directly by company,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
57,11,Community Development - CSR at manufacturing locations,Rural Development Projects,PAN India,NEC/ Not mentioned,"86,000,000.00","379,600,000.00",Directly by company,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
58,12,Health - CSR at manufacturing locations,Health Care,PAN India,NEC/ Not mentioned,"70,000,000.00","125,500,000.00",Directly by company,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
59,13,Education - CSR at manufacturing locations,Education,PAN India,NEC/ Not mentioned,"540,000,000.00","257,200,000.00",Directly by company,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
60,14,Promoting Grassroot Sports,Art And Culture,PAN India,NEC/ Not mentioned,"150,000,000.00","218,600,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
61,15,Other CSR Initiatives - at manufacturing locations,Rural Development Projects,Gujarat,NEC/ Not mentioned,"180,700,000.00","174,900,000.00",Other implementing agencies,2016-17,L17110MH1973PLC019786,RELIANCE INDUSTRIES LTD.
